"","sub","HitRate_0Back","CorrectRejectionsRate_0Back","HitRate_2Back","CorrectRejectionsRate_2Back"
"1","10",0.8,0.98,0.789473684210526,0.940594059405941
"2","11",0.7,0.94,0.4,0.695238095238095
"3","12",1,0.96,0.583333333333333,0.509259259259259
"4","13",0.4,0.96,0.611111111111111,0.852941176470588
"5","14",1,1,0.722222222222222,0.941176470588235
"6","15",0.6,0.66,0.352941176470588,0.543689320388349
"7","16",0.5,0.86,0.166666666666667,0.78125
"8","17",0.5,0.9,0.666666666666667,0.552380952380952
"9","18",0.5,0.88,0.730769230769231,0.797872340425532
"10","19",0.3,0.98,0.571428571428571,0.838383838383838
"11","2",0.5,1,0.8125,0.836538461538462
"12","20",0.6,0.2,0.777777777777778,0.53921568627451
"13","21",1,1,0.5,0.778846153846154
"14","22",0.9,1,0.869565217391304,0.896907216494845
"15","23",0.3,0.88,0.5,0.8
"16","24",0,0,0.142857142857143,0.141414141414141
"17","25",1,1,0.352941176470588,0.864077669902913
"18","26",0.9,0.94,0.75,0.76
"19","27",0.8,1,0.705882352941177,0.601941747572815
"20","28",1,1,0.818181818181818,0.724489795918367
"21","29",0.8,0.96,0.875,0.894230769230769
"22","3",0.7,0.98,0.304347826086957,0.731958762886598
"23","30",0.4,0.68,0.214285714285714,0.613207547169811
"24","31",0.9,0.96,0.652173913043478,0.515463917525773
"25","32",0.9,1,0.869565217391304,0.876288659793814
"26","33",1,1,0.631578947368421,0.930693069306931
"27","34",1,1,0.833333333333333,0.791666666666667
"28","35",0.8,0.88,0.833333333333333,0.777777777777778
"29","36",1,0.98,0.842105263157895,0.930693069306931
"30","37",0.9,1,0.727272727272727,0.755102040816326
"31","38",1,1,0.571428571428571,0.924528301886792
"32","39",0.9,1,0.409090909090909,0.285714285714286
"33","4",0.7,0.92,0.625,0.791666666666667
"34","40",0.5,0.8,0.65,0.81
"35","41",0.9,1,0.857142857142857,0.94949494949495
"36","42",1,1,1,0.909090909090909
"37","43",0.8,0.92,0.35,0.8
"38","44",1,1,0.857142857142857,0.808080808080808
"39","45",0.9,1,0.714285714285714,0.939393939393939
"40","46",0.2,0.92,0.368421052631579,0.910891089108911
"41","47",0.9,0.98,0.708333333333333,0.822916666666667
"42","49",1,0.98,0.157894736842105,0.871287128712871
"43","5",0.9,0.98,0.909090909090909,0.112244897959184
"44","50",0.9,1,0.833333333333333,0.794117647058823
"45","51",1,0,0.272727272727273,0.316326530612245
"46","52",1,0.98,0.75,0.942307692307692
"47","53",0.9,0.98,0.85,0.81
"48","54",0.9,0.94,0.6875,0.865384615384615
"49","55",0,0.82,0.611111111111111,0.862745098039216
"50","56",1,0.98,0.888888888888889,0.843137254901961
"51","57",1,0.98,0.818181818181818,0.683673469387755
"52","58",0.9,1,0.80952380952381,0.888888888888889
"53","59",1,1,0.823529411764706,0.932038834951456
"54","6",1,0.98,0.666666666666667,0.89247311827957
"55","60",1,1,1,0.333333333333333
"56","61",0.4,0.88,0.666666666666667,0.923809523809524
"57","62",0.9,1,0.3,0.65
"58","63",1,1,0.565217391304348,0.824742268041237
"59","64",0,0.72,0.888888888888889,0.911764705882353
"60","65",1,0.98,0.0952380952380952,0.828282828282828
"61","66",0,0.8,0.1875,0.384615384615385
"62","67",0.6,0.92,0.103448275862069,0.802197802197802
"63","68",0.8,1,0.217391304347826,0.783505154639175
"64","69",1,0.98,0.75,0.576923076923077
"65","7",1,1,0.434782608695652,0.556701030927835
"66","70",1,1,0.76,0.957894736842105
"67","71",0.1,0.84,0.142857142857143,0.849056603773585
"68","72",1,1,0.764705882352941,1
"69","73",0.8,0.98,0.173913043478261,0.350515463917526
"70","74",0.7,0.98,0.904761904761905,0
"71","76",1,1,0.875,0.9375
"72","77",0.4,0.94,0.789473684210526,0.732673267326733
"73","78",0.6,0.64,0.733333333333333,0.628571428571429
"74","79",0.8,0.96,0.761904761904762,0.595959595959596
"75","8",0.9,0.98,0.578947368421053,0.514851485148515
"76","80",0.4,0.92,0.894736842105263,0.871287128712871
"77","81",0.5,0.48,0.636363636363636,0.744897959183674
"78","82",0.8,1,0.857142857142857,0.888888888888889
"79","83",0.3,0.92,0.80952380952381,0.868686868686869
"80","84",1,0.96,0.647058823529412,0.893203883495146
"81","85",0.8,0.98,0.714285714285714,0.886792452830189
"82","86",0.5,0.88,0.8,0.914285714285714
"83","87",0.3,0.88,0.705882352941177,0.815533980582524
"84","88",0.5,0.92,0.545454545454545,0.775510204081633
"85","9",0.7,0.9,0.428571428571429,0.849056603773585
